"","RMSE","df"
"1",24.8818908691331,30.2
"2",24.886712542112,39.5
"3",24.8564812897717,23.7
"4",24.8752604942978,23
"5",24.8602194540594,31.4
"6",24.8388841048418,26
"7",24.8812982997292,36.2
"8",24.7822754922736,39.5
"9",24.8787609914777,25.9
"10",24.8711449843722,28.8
